Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
晒干番茄,蔬菜,0.047,213,23,0,0.00047,14,5.8,2.30E-05,0.0027,0.081,8.7,18,,,,0.139,2.1,1.565,5.1,1.9,3.00E-06,0.266,0,1286,6.40E-05,0.00019,0,0.00038,0.0036,0.00048,0.00032,0.102,0.00078,,,8.00E-05,0.00012,0.00019,0.00019,0.00047,4.00E-05,0.00013,,,0.00013,4.00E-05,0.00013,0,,,,,,,,,
茴香,蔬菜,0.049,31,7.3,0,7.00E-05,0.2,3.1,2.70E-05,0.00073,0.017,0.07,4.2,0,0,0,0.05,0.17,0.414,1.2,0.09,7.00E-07,0.052,0,963,4.80E-05,1.00E-05,0,3.00E-05,0.00064,0.00023,5.00E-05,0.012,0.0002,0.013,,,,,,0.00019,,,,3.9,,,,0,0.00058,6.30E-05,,,,,,,
棕榈芯,蔬菜,0.058,28,4.6,0,0.00013,0.62,2.4,3.90E-05,0.0031,0.038,0.1,2.2,,,,0.065,0.2,0.177,2.5,0.13,7.00E-07,0.426,0,0,0,1.00E-05,0,6.00E-05,0.00044,0.00013,2.00E-05,0.0079,0.0012,,,6.00E-05,0.0001,0.00017,9.00E-05,0.0014,4.00E-05,0.0001,,,0.0001,2.00E-05,0.00011,0,,,,,,,,,
仙人掌,蔬菜,0.056,41,9.6,0,8.00E-05,0.51,3.6,6.00E-06,0.0003,0.085,0.08,6,0,0,0,0.024,0.21,0.22,0.73,0.07,6.00E-07,0.005,0,43,2.00E-06,1.00E-05,0,6.00E-05,0.00046,,6.00E-05,0.014,0.00012,,,,,,,,,,,,,,,,,,,,,,,,
中国芥蓝,蔬菜,0.1,22,3.8,0,6.00E-05,0.72,2.5,9.90E-05,0.00056,0.018,0.05,1.3,0,0,0,0.041,0.33,0.261,1.1,0.11,1.30E-06,0.007,0,1638,8.20E-05,0.0001,0,0.00015,0.00044,0.00016,7.00E-05,0.028,0.00039,0.025,,,,,,0.00026,,,,0.84,,,,0,0.00048,8.50E-05,,,,,,,
卷心菜,蔬菜,0.029,12,2.2,0,0.0001,0.17,,4.30E-05,0.00074,0.008,,2.2,,,,0.019,,0.087,1.1,,4.00E-07,0.011,0,263,1.30E-05,1.00E-05,0,3.00E-05,0.00047,4.00E-05,4.00E-05,0.0032,0.00014,,,,,,,0.0002,,,,,,,,0,,,,,,,,,
普布兰诺辣椒,蔬菜,0.061,281,51,0,0.00051,8.2,22,6.90E-05,0.011,0.113,0.49,30,0,0,0,0.201,4.5,2.411,12,0.82,2.90E-06,0.043,0,20438,0.001022,0.00018,0,0.0023,0.0064,0.002,0.0035,0.002,0.0014,,,0.00023,0.00037,0.00061,0.00052,0.0013,0.00014,0.00036,,,0.00043,0.00016,0.00049,0,,,,,,,,,
哈瓦那辣椒,蔬菜,0.012,29,6.5,0,5.00E-05,0.37,2.8,2.70E-05,0.00025,0.015,0.03,3.7,0,0,0,0.026,0.11,0.248,0.91,0.09,4.00E-07,0.003,0,1078,5.40E-05,4.00E-05,0,7.00E-05,0.0013,0.00032,0.00042,0.119,0.00014,0.0075,2.6,,,,,0.0001,,,,4.1,,,,0,0.0036,1.90E-05,0.05,0,0,0,0,0.06,
帕西拉辣椒,蔬菜,0.097,345,51,0,0.00042,16,27,0.00017,0.0098,0.13,,24,,,,0.267,,2.222,12,,3.20E-06,0.089,0,35760,0.001788,0.00017,0,0.0032,0.0072,0.0016,0.0042,0.0064,0.0014,,,,,,,0.0016,,,,,,,,0,,,,,,,,,
墨西哥茶,蔬菜,0.275,32,7.4,0,0.00019,0.52,3.8,0.000215,0.0019,0.121,,3.6,,,,0.086,,0.633,0.33,,9.00E-07,0.043,0,57,3.00E-06,3.00E-05,0,0.00035,0.00064,0.00018,0.00015,0.0036,0.0011,,,,,,,0.0031,,,,,,,,0,,,,,,,,,
芋头,蔬菜,0.009,98,24,0,0.00026,0.4,1.5,1.70E-05,0.00098,0.024,,22,,,,0.051,,0.598,1.5,0.08,7.00E-07,0.021,0,8,0,0.0001,0,4.00E-05,0.00067,0.00021,0.00024,0.0052,0.0005,,,,,,,0.00019,,,,,,,,0,,,,,,,,,
蕨菜,蔬菜,0.032,34,5.5,0,0.00032,0.4,,,0.0013,0.034,,5.5,,,,0.101,,0.37,4.6,,,0.001,0,3617,0.000181,2.00E-05,0,0.00021,0.005,,,0.027,0.00083,,,,,,,0.00051,,,,,,,,0,,,,,,,,,
鳕鱼肝油,海鲜,0,902,0,0.57,0,100,0,0,0,0,47,0,11,0.94,6.9,0,23,0,0,23,0,0,,100000,0.03,,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0.00025,,,,,,,,,
凤尾鱼,海鲜,0.147,131,0,0.06,0.00021,4.8,0,9.00E-06,0.0033,0.041,1.2,0,0.91,0.03,0.54,0.174,1.6,0.383,20,1.3,3.70E-05,0.104,,50,1.50E-05,6.00E-05,6.20E-07,0.00026,0.014,0.00065,0.00014,0,0.0017,,,0.0006,0.00094,0.0017,0.0019,7.00E-05,0.0006,0.00079,,0,0.00089,0.00023,0.001,,0.00057,1.00E-07,,,,,,,
鲤鱼,海鲜,0.052,162,0,0.084,7.00E-05,7.2,0,1.70E-05,0.0016,0.038,3,0,0.15,0.11,0.31,0.531,1.8,0.427,23,1.4,1.60E-05,0.063,,32,1.00E-05,0.00014,1.50E-06,7.00E-05,0.0021,0.00087,0.00022,0.0016,0.0019,,,0.00067,0.0011,0.0019,0.0021,5.00E-05,0.00068,0.00089,,,0.001,0.00026,0.0012,,,,,,,,,,
鱼子酱,海鲜,0.275,264,4,0.588,0.00011,18,0,5.00E-05,0.012,0.3,4.6,4,3.8,0.23,2.7,0.356,7.4,0.181,25,4.1,6.60E-05,1.5,,905,0.000271,0.00019,2.00E-05,0.00062,0.00012,0.0035,0.00032,0,0.00095,0.491,,0.00065,0.001,0.0021,0.0018,5.00E-05,0.00065,0.0011,,0,0.0013,0.00032,0.0013,2.90E-06,0.0019,6.00E-07,,,,,,,
鳕鱼,海鲜,0.014,105,0,0.055,4.00E-05,0.86,0,8.00E-06,0.00049,0.042,0.12,0,0.15,0.01,0,0.138,0.29,0.244,23,0.17,3.80E-05,0.078,,47,1.40E-05,9.00E-05,1.10E-06,8.00E-05,0.0025,0.00018,0.00028,0.001,0.00058,0.084,,0.00067,0.0011,0.0019,0.0021,2.00E-05,0.00068,0.00089,,0,0.001,0.00026,0.0012,1.20E-06,0.00081,1.00E-07,,,,,,,
鼓眼鱼,海鲜,0.032,221,7.5,0.084,7.00E-05,13,0.4,3.40E-05,0.00086,0.042,5.3,7.1,0.09,0.08,0.11,0.217,2.9,0.34,18,3.5,3.90E-05,0.348,,75,2.30E-05,9.00E-05,2.10E-06,0.00013,0.0043,0.00074,0.00026,0,0.00052,,,0.00053,0.00085,0.0015,0.0016,8.00E-05,0.00053,0.00074,,,0.00079,0.00021,0.00095,,,,,,,,,,
鳗鱼,海鲜,0.026,236,0,0.161,3.00E-05,15,0,1.70E-05,0.00064,0.026,9.2,0,0.08,0.1,0.11,0.277,1.2,0.349,24,3,8.30E-06,0.065,,3787,0.001137,0.00018,2.90E-06,5.00E-05,0.0045,0.00028,8.00E-05,0.0018,0.0021,,,0.0007,0.0011,0.0019,0.0022,4.00E-05,0.0007,0.00092,,,0.001,0.00027,0.0012,,,,,,,,,,
鱼柳,海鲜,0.016,277,22,0.028,6.00E-05,16,1.5,2.40E-05,0.00084,0.025,3.2,20,0.09,0,0.05,0.191,7.8,0.185,11,3.7,1.60E-05,0.402,0.12,18,4.00E-06,0.00012,9.60E-07,0.00012,0.0015,0.00027,8.00E-05,0,0.00042,0.043,0.1,0.00023,0.00043,0.00085,0.0008,0.00018,0.0003,0.00047,20,1.7,0.00037,0.00012,0.0005,0,0.0069,4.70E-06,0.24,0,0.01,0,0,7.3,
比目鱼,海鲜,0.025,86,0,0.056,2.00E-05,2.4,0,6.00E-06,0.00023,0.022,0.66,0,0.13,0.03,0.17,0.309,0.46,0.197,15,0.54,3.30E-05,0.363,0.01,37,1.20E-05,3.00E-05,1.30E-06,3.00E-05,0.0013,0.00023,0.00012,0,0.00039,0.08,0,0.00037,0.00075,0.0013,0.0016,2.00E-05,0.00056,0.00062,0,0,0.00072,0.0002,0.0008,3.50E-06,0.00077,1.00E-07,,0.01,,,,,
鱼丸,海鲜,0.023,84,7.4,0.03,0.0002,1.7,0,3.00E-06,0.0025,0.009,0.82,7.4,0.05,0.03,0.08,0.073,0.29,0.091,9.1,0.41,1.10E-05,0.524,,89,2.70E-05,7.00E-05,8.40E-07,6.00E-05,0.001,0.0002,8.00E-05,0.0008,0.00082,,,0.00026,0.00049,0.00081,0.00084,7.00E-05,0.00026,0.00049,,,0.00049,9.00E-05,0.00055,,,,,,,,,,
石斑鱼,海鲜,0.021,118,0,0.047,5.00E-05,1.3,0,1.00E-05,0.0011,0.037,0.27,0,0.21,0.02,0.04,0.143,0.4,0.475,25,0.3,4.70E-05,0.053,,165,5.00E-05,8.00E-05,6.90E-07,1.00E-05,0.00038,0.00087,0.00035,0,0.00051,,,0.00073,0.0011,0.002,0.0023,1.00E-05,0.00074,0.00097,,,0.0011,0.00028,0.0013,,,,,,,,,,
鳕鱼,海鲜,0.014,90,0,0.066,3.00E-05,0.55,0,1.30E-05,0.00021,0.026,0.07,0,0.11,0.01,0.05,0.278,0.2,0.351,20,0.11,3.20E-05,0.261,0.01,62,2.10E-05,2.00E-05,2.10E-06,7.00E-05,0.0041,0.00049,0.00033,0,0.0004,0.08,,0.00068,0.0011,0.0019,0.0021,1.00E-05,0.00069,0.0009,,0,0.001,0.00026,0.0012,6.00E-07,0.00055,1.00E-07,,0,,,,,
鲱鱼,海鲜,0.074,203,0,0.077,0.00012,12,0,1.20E-05,0.0014,0.041,4.8,0,1.1,0.07,0.91,0.303,2.7,0.419,23,2.6,4.70E-05,0.115,,120,3.60E-05,0.00011,1.30E-05,0.0003,0.0041,0.00074,0.00035,0.0007,0.0013,0.083,,0.00068,0.0011,0.0019,0.0021,4.00E-05,0.00068,0.0009,,0,0.001,0.00026,0.0012,5.40E-06,0.0014,1.00E-07,,,,,,,
鲭鱼,海鲜,0.015,262,0,0.075,9.00E-05,18,0,2.00E-06,0.0016,0.097,7,0,0.7,0.11,0.5,0.278,4.3,0.401,24,4.2,5.20E-05,0.083,,180,5.40E-05,0.00016,1.90E-05,0.00041,0.0069,0.00099,0.00046,0.0004,0.00094,,,0.0007,0.0011,0.0019,0.0022,2.00E-05,0.00071,0.00093,,,0.001,0.00027,0.0012,,,,,,,,,,
鲻鱼,海鲜,0.031,150,0,0.063,0.00014,4.9,0,1.00E-05,0.0014,0.033,1.4,0,0.15,0.09,0.18,0.244,0.92,0.458,25,1.4,4.70E-05,0.071,,141,4.20E-05,0.0001,2.50E-07,0.0001,0.0063,0.00088,0.00049,0.0012,0.00088,,,0.00073,0.0011,0.002,0.0023,2.00E-05,0.00073,0.00097,,,0.0011,0.00028,0.0013,,,,,,,,,,
鲈鱼,海鲜,0.102,117,0,0.115,0.00019,1.2,0,6.00E-06,0.0012,0.038,0.2,0,0.22,0.04,0.1,0.257,0.47,0.344,25,0.24,1.60E-05,0.079,,32,1.00E-05,8.00E-05,2.20E-06,0.00012,0.0019,0.00087,0.00014,0.0017,0.0014,,,0.00073,0.0011,0.002,0.0023,0.0009,0.00074,0.00097,,,0.0011,0.00028,0.0013,,,,,,,,,,
阿拉斯加鳕鱼,海鲜,0.072,111,0,0.086,6.00E-05,1.2,0,3.00E-06,0.00056,0.081,0.13,0,0.42,0.03,0.09,0.267,0.58,0.43,23,0.16,4.40E-05,0.419,,51,1.70E-05,5.00E-05,3.70E-06,0.00022,0.0039,0.00043,0.00033,0,0.00057,0.092,,0.00069,0.0011,0.0019,0.0022,2.00E-05,0.0007,0.00092,,0,0.001,0.00026,0.0012,1.30E-06,0.00028,1.00E-07,,,,,,,
黄尾鱼,海鲜,0.043,211,0,0.064,8.00E-05,12,0,1.70E-05,0.00067,0.031,3.3,0,0.5,0.26,0.22,0.341,1.5,0.636,24,4.5,4.70E-05,0.076,,120,3.60E-05,0.00068,1.20E-06,0.00015,0.0038,0.00087,0.00023,0,0.00069,,,0.0007,0.0011,0.0019,0.0022,3.00E-05,0.0007,0.00093,,,0.001,0.00027,0.0012,,,,,,,,,,
石斑鱼,海鲜,0.017,109,0,0.061,4.00E-05,1.6,0,1.00E-05,0.00036,0.033,0.47,0,0.24,0.03,0.11,0.248,0.49,0.467,22,0.42,7.60E-05,0.089,0.03,16,5.00E-06,3.00E-05,1.60E-06,0.00023,0.0029,0.0004,0.00024,0,0.00043,0.079,0,0.0005,0.0011,0.0018,0.0022,1.00E-05,0.00071,0.00094,0,0,0.001,0.0003,0.0011,4.60E-06,0.00044,0,,0.01,,,,,
熏三文鱼,海鲜,0.011,117,0,0.023,0.00023,4.3,0,2.00E-06,0.00085,0.018,2,0,0.27,0.07,0.18,0.164,1,0.175,18,0.93,3.20E-05,0.672,,87,2.60E-05,2.00E-05,3.30E-06,0.0001,0.0047,0.00087,0.00028,0,0.00031,0.089,,0.00054,0.00084,0.0015,0.0017,2.00E-05,0.00054,0.00071,,0,0.0008,0.00021,0.00094,1.70E-05,0.0014,1.00E-07,,,,,,,
红鲑,海鲜,0.011,156,0,0.061,8.00E-05,5.6,0,7.00E-06,0.00052,0.036,1.9,0,0.56,0.09,0.3,0.305,1.3,0.436,26,0.97,3.60E-05,0.092,0.02,193,5.80E-05,0.00016,4.50E-06,0.00025,0.01,0.0013,0.00083,0,0.00055,0.113,0,0.00071,0.0013,0.0022,0.0026,1.00E-05,0.00086,0.0011,0,0,0.0012,0.00034,0.0015,1.70E-05,0.00099,1.00E-07,,0.02,,,,,
沙丁鱼,海鲜,0.382,208,0,0.142,0.00019,11,0,1.00E-05,0.0029,0.039,3.9,0,0.51,0,0.47,0.49,5.1,0.397,25,1.5,5.30E-05,0.307,,108,3.20E-05,8.00E-05,8.90E-06,0.00023,0.0052,0.00064,0.00017,0,0.0013,0.075,,0.00073,0.0011,0.002,0.0023,0.00011,0.00073,0.00096,,0,0.0011,0.00028,0.0013,4.80E-06,0.002,2.60E-06,,,,,,,
鲨鱼,海鲜,0.05,228,6.4,0.059,4.00E-05,14,0,1.50E-05,0.0011,0.043,5.9,6.4,0.43,0.09,0.26,0.194,3.7,0.155,19,3.2,3.40E-05,0.122,,180,5.40E-05,7.00E-05,1.20E-06,0.0001,0.0028,0.00062,0.0003,0,0.00048,,,0.00054,0.00087,0.0015,0.0016,5.00E-05,0.00054,0.00075,,,0.00084,0.00021,0.00097,,,,,,,,,,
羊头鱼,海鲜,0.037,126,0,0.064,0.00012,1.6,0,1.70E-05,0.00067,0.035,0.35,0,0.11,0.04,0.08,0.35,0.38,0.512,26,0.36,5.10E-05,0.073,,115,3.50E-05,1.00E-05,2.30E-06,5.00E-05,0.0018,0.00087,0.00035,0,0.00063,,,0.00077,0.0012,0.0021,0.0024,2.00E-05,0.00077,0.001,,,0.0011,0.00029,0.0013,,,,,,,,,,
胡瓜鱼,海鲜,0.077,124,0,0.09,0.00018,3.1,0,5.00E-06,0.0012,0.038,0.82,0,0.54,0.02,0.35,0.295,1.1,0.372,23,0.58,4.70E-05,0.077,,58,1.70E-05,1.00E-05,4.00E-06,0.00015,0.0018,0.00074,0.00017,0,0.0021,,,0.00067,0.001,0.0018,0.0021,0.0009,0.00067,0.00088,,,0.00099,0.00025,0.0012,,,,,,,,,,
鲷鱼,海鲜,0.04,128,0,0.047,5.00E-05,1.7,0,6.00E-06,0.00024,0.037,0.32,0,0.27,0.02,0.05,0.201,0.59,0.522,26,0.37,4.90E-05,0.057,,115,3.50E-05,5.00E-05,3.50E-06,0,0.00035,0.00087,0.00046,0.0016,0.00044,,,0.00077,0.0012,0.0021,0.0024,2.00E-05,0.00078,0.001,,,0.0012,0.00029,0.0014,,,,,,,,,,
鲟鱼,海鲜,0.017,135,0,0.077,5.00E-05,5.2,0,1.70E-05,0.0009,0.045,2.5,0,0.12,0.06,0.25,0.271,0.89,0.364,21,1.2,1.60E-05,0.069,,875,0.000263,8.00E-05,2.50E-06,9.00E-05,0.01,0.00087,0.00023,0,0.00054,0.07,,0.00061,0.00095,0.0017,0.0019,3.00E-05,0.00061,0.00081,,0,0.00091,0.00023,0.0011,1.30E-05,0.00063,1.00E-07,,,,,,,
鱼浆,海鲜,0.009,99,6.9,0.03,3.00E-05,0.9,0,2.00E-06,0.00026,0.043,0.15,6.9,0.24,0.01,0.16,0.282,0.44,0.112,15,0.19,2.80E-05,0.143,,67,2.00E-05,2.00E-05,1.60E-06,2.00E-05,0.00022,7.00E-05,3.00E-05,0,0.00033,,,0.00035,0.00071,0.0012,0.0014,1.00E-05,0.00052,0.0006,,0,0.00073,9.00E-05,0.00077,,0.00063,1.00E-07,,,,,,,
剑鱼,海鲜,0.006,172,0,0.078,5.00E-05,7.9,0,2.00E-06,0.00045,0.035,3.5,0,0.77,0.17,0.13,0.304,1.4,0.499,23,1.9,6.90E-05,0.097,0.06,129,4.30E-05,9.00E-05,1.60E-06,6.00E-05,0.0093,0.00042,0.00062,0,0.00078,0.078,,0.0007,0.0011,0.0019,0.0022,1.00E-05,0.0007,0.00092,,0,0.001,0.00027,0.0012,1.70E-05,0.0024,1.00E-07,,0.02,,,,,
瓷鱼,海鲜,0.026,147,0,0.064,5.00E-05,4.7,0,1.70E-05,0.00031,0.033,1.3,0,0.73,0.14,0.17,0.236,1.2,0.512,24,0.87,5.20E-05,0.059,,69,2.10E-05,0.00014,2.50E-06,0.00019,0.0035,0.00087,0.0003,0,0.00053,,,0.00072,0.0011,0.002,0.0022,2.00E-05,0.00073,0.00096,,,0.0011,0.00027,0.0013,,,,,,,,,,
金枪鱼沙拉,海鲜,0.017,187,9.4,0.013,0.00015,9.3,0,8.00E-06,0.001,0.019,2.9,9.4,0.06,,0.01,0.178,4.1,0.178,16,1.5,4.10E-05,0.402,,97,2.40E-05,3.00E-05,1.20E-06,7.00E-05,0.0067,0.00026,8.00E-05,0.0022,0.00056,,,0.00047,0.00074,0.0013,0.0015,4.00E-05,0.00047,0.00063,,,0.0007,0.00018,0.00082,,,,,,,,,,
鳕鱼,海鲜,0.062,116,0,0.084,4.00E-05,1.7,0,1.50E-05,0.00042,0.027,0.45,0,0.24,0.02,0.28,0.285,0.59,0.434,23,0.4,4.10E-05,0.132,,128,3.80E-05,7.00E-05,2.60E-06,6.00E-05,0.0017,0.00025,0.00018,0,0.00053,0.083,,0.00069,0.0011,0.0019,0.0022,0.00013,0.0007,0.00092,,0,0.001,0.00026,0.0012,1.80E-06,0.00038,1.00E-07,,,,,,,
蟹肉,海鲜,0.059,97,0,0.053,0.0012,1.5,0,5.10E-05,0.00076,0.063,0.19,0,0.12,0.03,0.3,0.28,0.54,0.262,19,0.13,4.00E-05,1.072,,29,9.00E-06,5.00E-05,1.20E-05,6.00E-05,0.0013,0.0004,0.00018,0.0076,0.0076,,,0.00039,0.00094,0.0015,0.0017,4.00E-05,0.00055,0.00082,,,0.00078,0.00027,0.00091,,,,,,,,,,
蟹棒,海鲜,0.013,95,15,0.02,3.00E-05,0.46,0.5,0,0.00039,0.043,0.28,15,0.03,0,0,0.282,0.14,0.09,7.6,0.22,2.20E-05,0.529,0.01,0,0,3.00E-05,5.70E-07,8.00E-05,0.00062,0,0.00013,0,0.00033,0.013,0.62,0.00016,0.00023,0.00061,0.00071,1.00E-05,0.00026,0.00026,3.5,6.3,0.00029,8.00E-05,0.00029,0,0.00017,4.00E-07,0.01,0,0,0,0,0.09,
蟹,海鲜,0.091,83,0,0.097,0.00081,0.74,0,5.10E-05,0.0005,0.036,0.13,0,0.07,0.01,0.1,0.234,0.26,0.259,18,0.2,4.30E-05,0.563,0.01,2,1.00E-06,2.00E-05,3.30E-06,9.00E-05,0.0027,0.001,0.00016,0.0033,0.0038,0.081,0,0.00039,0.00078,0.0013,0.0014,7.00E-05,0.00045,0.00071,0,0,0.00073,0.00023,0.00081,0,0.0018,3.00E-07,,0.01,,,,,
小龙虾,海鲜,0.06,82,0,0.133,0.00069,1.2,0,4.40E-05,0.00083,0.033,0.24,0,0.05,0,0.12,0.27,0.37,0.296,17,0.18,3.70E-05,0.094,,50,1.50E-05,5.00E-05,2.20E-06,9.00E-05,0.0023,0.00058,8.00E-05,0.0009,0.0018,0.081,,0.00034,0.00081,0.0013,0.0015,0.00052,0.00047,0.00071,,0,0.00068,0.00023,0.00079,0,0.0015,1.00E-07,,,,,,,
龙虾,海鲜,0.096,89,0,0.146,0.0016,0.86,0,1.10E-05,0.00029,0.043,0.25,0,0.08,0.01,0.12,0.185,0.34,0.23,19,0.21,7.30E-05,0.486,0.01,4,1.00E-06,2.00E-05,1.40E-06,2.00E-05,0.0018,0.0017,0.00012,0,0.0041,0.081,0,0.00048,0.00083,0.0014,0.0014,7.00E-05,0.00048,0.00078,0,0,0.00075,0.00025,0.00085,0,0.001,0,0.05,0.01,0,0.01,0.01,0.03,
虾,海鲜,0.091,119,1.5,0.211,0.00026,1.7,0,2.40E-05,0.00032,0.037,0.36,1.5,0.14,0.01,0.14,0.306,0.59,0.17,23,0.52,5.00E-05,0.947,0.04,301,9.00E-05,3.00E-05,1.70E-06,2.00E-05,0.0027,0.00052,0.00024,0,0.0016,0.135,0,0.0005,0.0011,0.002,0.0022,5.00E-05,0.00067,0.00099,0,0,0.0009,0.00026,0.0011,1.00E-07,0.0022,4.00E-07,,0.01,,,,,
鲍鱼,海鲜,0.037,189,11,0.094,0.00023,6.8,0,1.40E-05,0.0038,0.056,2.7,11,,0.05,0.05,0.217,1.7,0.284,20,1.6,5.20E-05,0.591,,5,2.00E-06,0.00022,6.90E-07,0.00013,0.0019,0.0029,0.00015,0.0018,0.00095,,,0.00038,0.00085,0.0014,0.0014,7.00E-05,0.00044,0.00072,,,0.00084,0.00022,0.00086,,,,,,,,,,
蛤蜊,海鲜,0.092,148,5.1,0.067,0.00069,2,0,2.90E-05,0.0028,0.018,0.17,5.1,0.15,0.1,0.14,0.338,0.55,0.628,26,0.19,6.40E-05,1.202,,570,0.000171,0.00015,9.90E-05,0.00043,0.0034,0.00068,0.00011,0.022,0.0027,,,0.00049,0.0011,0.0018,0.0019,0.001,0.00058,0.00092,,,0.0011,0.00029,0.0011,,,,,,,,,,
乌贼,海鲜,0.09,79,0.82,0.112,0.00059,0.7,0,1.60E-05,0.006,0.03,0.08,0.82,0.07,0.01,0.04,0.387,0.13,0.354,16,0.12,4.50E-05,0.372,,375,0.000113,1.00E-05,3.00E-06,0.00091,0.0012,0.0005,0.00015,0.0053,0.0017,,,0.00031,0.00071,0.0011,0.0012,0.00011,0.00037,0.00058,,,0.0007,0.00018,0.00071,,,,,,,,,,
贻贝,海鲜,0.033,172,7.4,0.056,0.00015,4.5,0,7.60E-05,0.0067,0.037,1,7.4,0.51,0.04,0.28,0.285,1.2,0.268,24,0.85,9.00E-05,0.369,,304,9.10E-05,0.0003,2.40E-05,0.00042,0.003,0.00095,0.0001,0.014,0.0027,,,0.00046,0.001,0.0017,0.0018,0.0068,0.00054,0.00085,,,0.001,0.00027,0.001,,,,,,,,,,
牡蛎,海鲜,0.116,102,5.5,0.079,0.0057,3.4,0,1.40E-05,0.0092,0.035,0.51,5.5,0.27,0.02,0.35,0.194,1.1,0.139,11,0.95,4.00E-05,0.166,0.07,88,2.60E-05,4.00E-05,1.80E-05,0.00018,0.0019,0.00045,6.00E-05,0,0.079,0.13,0,0.00022,0.00046,0.00072,0.00076,0.00059,0.00026,0.00041,0.9,1.2,5.00E-05,0.00014,0.00052,0,0.0017,2.00E-06,0.16,0.01,0,0,0.01,0.06,
螺,海鲜,0.113,275,16,0.13,0.0021,0.8,0,1.10E-05,0.01,0.172,0.06,16,0.01,,0.01,0.282,0.05,0.694,48,0.06,9.00E-05,0.412,,162,4.90E-05,5.00E-05,1.80E-05,0.00021,0.002,0.0004,0.00065,0.0068,0.0033,,,0.00098,0.0017,0.0038,0.0029,0.00089,0.0012,0.0016,,,0.0021,0.00062,0.0021,,,,,,,,,,
鲈鱼,海鲜,0.019,124,0,0.103,4.00E-05,3,0,1.00E-05,0.0011,0.051,0.85,0,0.75,,0.22,0.254,1,0.328,23,0.65,4.70E-05,0.088,,104,3.10E-05,0.00012,4.40E-06,4.00E-05,0.0026,0.00087,0.00035,0,0.00051,,,0.00067,0.001,0.0018,0.0021,2.00E-05,0.00067,0.00089,,,0.001,0.00026,0.0012,,,,,,,,,,
蓝鱼,海鲜,0.009,159,0,0.076,7.00E-05,5.4,0,2.00E-06,0.00062,0.042,2.3,0,0.67,0.08,0.32,0.291,1.4,0.477,26,1.2,4.70E-05,0.077,,459,0.000138,7.00E-05,6.20E-06,0.0001,0.0072,0.00096,0.00046,0,0.001,,,0.00076,0.0012,0.0021,0.0024,3.00E-05,0.00076,0.001,,,0.0011,0.00029,0.0013,,,,,,,,,,
狗鱼,海鲜,0.064,115,0,0.077,0.00026,1,0,1.00E-06,0.0012,0.041,0.17,0,0.12,0.03,0.09,0.256,0.38,0.518,25,0.21,1.60E-05,0.124,,17,5.00E-06,0.00043,9.20E-07,0.00017,0.002,0.00017,0.00035,0,0.00097,,,0.00073,0.0011,0.002,0.0023,0.0009,0.00073,0.00097,,,0.0011,0.00028,0.0013,,,,,,,,,,
黄油鱼,海鲜,0.028,187,0,0.083,7.00E-05,10,0,1.70E-05,0.00064,0.032,,0,,,,0.308,,0.481,22,,4.70E-05,0.114,,109,3.30E-05,0.00015,1.80E-06,0.00019,0.0058,0.00087,0.00035,0,0.00099,,,0.00065,0.001,0.0018,0.002,2.00E-05,0.00066,0.00087,,,0.00097,0.00025,0.0011,,,,,,,,,,
鲯鳅,海鲜,0.019,109,0,0.094,5.00E-05,0.9,0,6.00E-06,0.0015,0.038,0.16,0,0.11,0.01,0.03,0.183,0.21,0.533,24,0.24,4.70E-05,0.113,,208,6.20E-05,2.00E-05,6.90E-07,9.00E-05,0.0074,0.00087,0.00046,0,0.00059,,,0.0007,0.0011,0.0019,0.0022,2.00E-05,0.0007,0.00093,,,0.001,0.00027,0.0012,,,,,,,,,,
鼓鱼,海鲜,0.077,153,0,0.082,0.0003,6.3,0,1.70E-05,0.0012,0.038,2.8,0,0.37,0.19,0.3,0.231,1.5,0.353,22,1.4,1.60E-05,0.096,,196,5.90E-05,8.00E-05,2.30E-06,0.00021,0.0029,0.00087,0.00035,0.001,0.00085,,,0.00066,0.001,0.0018,0.0021,0.0009,0.00067,0.00088,,,0.00099,0.00025,0.0012,,,,,,,,,,
